监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-13 04:00:00,24.0,8.0,7.7,298.5,70.9,6.1,0.12,0.214,3.04
2024-09-13 16:00:00,24.3,8.0,8.2,315.5,70.9,3.5,0.04,0.186,2.7
2024-09-13 20:00:00,24.3,8.0,8.0,310.2,70.9,5.3,0.1,0.186,2.48
2024-09-14 00:00:00,23.8,8.0,8.1,281.3,70.9,5.3,0.1,0.186,2.48
2024-09-14 04:00:00,22.9,8.0,8.2,273.7,70.9,5.6,0.02,0.186,2.28
2024-09-14 08:00:00,22.2,8.0,8.3,283.1,70.9,5.1,0.02,0.186,1.97
2024-09-14 12:00:00,22.8,8.0,8.2,310.2,70.9,4.9,0.02,0.186,2.37
2024-09-14 16:00:00,23.4,8.0,8.2,314.5,70.9,4.5,0.03,0.186,2.42
2024-09-14 20:00:00,23.0,8.0,8.4,291.3,70.9,5.4,0.02,0.186,2.43
2024-09-15 00:00:00,23.3,8.0,8.1,301.6,70.9,5.4,0.02,0.186,2.43
2024-09-15 04:00:00,22.8,8.0,8.2,293.6,70.9,5.6,0.04,0.186,2.34
2024-09-15 08:00:00,22.6,8.0,7.8,282.5,70.9,5.5,0.04,0.186,2.49
2024-09-15 12:00:00,23.0,8.0,7.5,255.4,70.9,5.5,0.04,0.186,3.12
2024-09-15 16:00:00,23.1,8.0,7.6,250.8,70.9,5.5,0.12,0.186,2.94
2024-09-15 20:00:00,23.4,8.0,7.6,236.2,70.9,5.5,0.1,0.186,2.58
2024-09-16 00:00:00,23.5,8.0,7.7,248.6,70.9,5.5,0.1,0.186,2.58
2024-09-16 04:00:00,23.2,8.0,7.7,272.5,70.9,5.5,0.08,0.186,2.65
2024-09-16 08:00:00,22.6,8.0,8.1,284.5,70.9,6.7,0.05,0.186,2.56
2024-09-16 12:00:00,21.8,8.0,8.5,257.2,70.9,6.7,0.02,0.186,1.64
2024-09-16 16:00:00,22.1,8.0,8.6,229.2,70.9,6.7,0.02,0.186,1.05
2024-09-16 20:00:00,21.9,8.0,8.4,220.0,70.9,6.7,0.02,0.186,0.58
2024-09-17 00:00:00,21.9,8.0,8.4,250.3,70.9,6.7,0.02,0.186,0.58
2024-09-17 04:00:00,21.5,8.0,8.5,275.1,70.9,6.7,0.02,0.186,1.05
2024-09-17 08:00:00,21.2,8.0,8.5,291.3,70.9,6.7,0.02,0.186,1.69
2024-09-17 12:00:00,22.0,8.0,8.6,304.1,70.9,6.6,0.02,0.186,2.09
2024-09-17 16:00:00,23.3,8.0,8.4,315.3,70.9,5.2,0.02,0.186,1.95
