监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,24.5,8.0,5.8,217.1,62.2,6.5,0.101,0.201,2.92
2024-09-16 00:00:00,24.4,8.0,5.2,239.9,62.2,6.5,0.101,0.201,2.92
2024-09-16 04:00:00,24.2,8.0,5.2,264.5,62.2,5.3,0.101,0.215,2.58
2024-09-16 08:00:00,23.9,8.0,5.2,291.8,62.2,4.0,0.101,0.197,2.74
2024-09-16 12:00:00,24.0,8.0,6.9,317.5,62.2,3.4,0.101,0.177,2.39
2024-09-16 16:00:00,25.0,8.0,6.1,368.8,62.2,5.0,0.101,0.202,3.03
2024-09-16 20:00:00,24.7,8.0,5.6,314.0,62.2,3.5,0.101,0.147,2.77
2024-09-17 00:00:00,24.0,8.0,6.2,352.3,62.2,3.5,0.101,0.147,2.77
2024-09-17 04:00:00,23.7,8.0,6.3,353.1,62.2,2.4,0.101,0.14,2.69
2024-09-17 08:00:00,23.2,8.0,6.6,349.9,62.2,2.7,0.101,0.161,2.59
2024-09-17 12:00:00,23.5,8.0,6.9,348.2,62.2,3.2,0.101,0.149,2.42
2024-09-17 16:00:00,24.3,8.0,7.0,347.2,62.2,3.3,0.101,0.139,2.33
2024-09-17 20:00:00,24.1,8.0,7.1,349.2,62.2,3.1,0.101,0.101,2.14
2024-09-18 00:00:00,23.9,8.0,7.0,351.7,62.2,3.1,0.101,0.101,2.14
2024-09-18 04:00:00,23.7,8.0,6.9,363.5,62.2,2.6,0.101,0.112,2.42
2024-09-18 08:00:00,23.3,8.0,7.1,357.6,62.2,2.5,0.101,0.122,2.24
2024-09-18 12:00:00,24.0,8.0,7.1,359.8,62.2,2.1,0.101,0.116,2.37
2024-09-18 16:00:00,25.1,8.0,7.1,354.4,62.2,2.3,0.101,0.114,2.41
2024-09-19 00:00:00,24.2,8.0,7.1,345.8,62.2,2.3,0.101,0.103,2.18
2024-09-19 08:00:00,23.5,8.0,7.0,356.3,62.2,3.7,0.101,0.107,2.18
2024-09-19 12:00:00,24.1,8.0,7.2,356.3,62.2,3.7,0.101,0.1,2.28
2024-09-20 08:00:00,22.8,8.0,7.2,340.3,62.2,2.0,0.101,0.095,2.26
2024-09-20 12:00:00,23.6,8.0,7.5,353.8,62.2,1.8,0.15,0.095,2.12
2024-09-20 16:00:00,24.8,8.0,7.5,356.5,62.2,1.7,0.15,0.091,2.29
2024-09-20 20:00:00,24.4,8.0,7.2,361.3,62.2,2.2,0.15,0.098,2.24
2024-09-21 00:00:00,23.7,8.0,7.2,344.9,62.2,1.9,0.13,0.103,2.1
2024-09-21 04:00:00,23.5,8.0,7.2,348.0,62.2,2.1,0.12,0.091,1.99
2024-09-21 08:00:00,23.0,8.0,7.3,340.4,62.2,2.2,0.13,0.091,2.22
2024-09-21 12:00:00,23.6,8.0,7.6,344.0,62.2,2.2,0.14,0.097,2.12
2024-09-21 16:00:00,24.7,8.0,7.7,350.7,62.2,2.0,0.13,0.099,2.12
2024-09-21 20:00:00,24.7,8.0,7.1,394.9,62.0,2.0,0.16,0.095,2.23
2024-09-22 00:00:00,24.1,8.0,7.0,369.3,63.9,2.0,0.11,0.098,2.58
2024-09-22 04:00:00,23.9,8.0,6.9,374.9,62.4,1.8,0.08,0.099,2.27
2024-09-22 08:00:00,23.4,8.0,6.9,368.8,59.2,1.9,0.11,0.092,2.36
2024-09-22 12:00:00,23.9,8.0,7.5,365.6,66.0,2.0,0.14,0.096,2.3
2024-09-22 16:00:00,25.0,8.0,7.6,377.6,65.1,1.9,0.14,0.093,2.27
2024-09-22 20:00:00,24.8,8.0,7.2,389.6,55.8,2.0,0.16,0.102,2.4
2024-09-23 00:00:00,23.9,8.0,7.1,369.5,58.4,1.9,0.09,0.094,2.48
2024-09-23 04:00:00,23.9,8.0,6.8,377.3,49.8,1.8,0.08,0.088,2.14
2024-09-23 08:00:00,23.6,8.0,6.7,381.6,51.0,1.8,0.08,0.086,2.4
2024-09-23 12:00:00,23.2,8.0,6.9,357.4,67.9,1.9,0.12,0.093,2.47
2024-09-23 16:00:00,23.8,8.0,7.2,372.6,60.3,2.0,0.12,0.098,2.19
2024-09-23 20:00:00,23.3,8.0,7.5,350.4,57.9,1.9,0.12,0.1,2.43
2024-09-24 00:00:00,22.5,8.0,7.5,337.4,57.9,1.7,0.08,0.085,2.11
2024-09-24 04:00:00,22.4,8.0,7.2,336.6,72.4,2.0,0.08,0.081,2.03
2024-09-24 08:00:00,22.2,8.0,7.1,339.5,61.4,1.8,0.11,0.084,2.1
2024-09-24 12:00:00,22.8,8.0,7.6,354.1,53.3,1.9,0.16,0.09,2.14
