监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-17 08:00:00,25.0,8.0,7.4,356.3,15.9,1.5,0.02,0.02,1.25
2024-09-17 12:00:00,24.9,8.0,7.5,373.2,24.9,1.3,0.02,0.024,1.38
2024-09-17 16:00:00,26.0,8.0,7.8,371.1,19.1,1.2,0.02,0.023,1.32
2024-09-17 20:00:00,26.0,8.0,7.9,372.1,13.7,1.1,0.02,0.022,1.18
2024-09-17 20:00:00,26.0,8.0,7.9,372.1,13.7,1.1,0.02,0.022,1.18
2024-09-18 04:00:00,25.3,8.0,7.4,374.8,10.6,1.1,0.02,0.02,1.17
2024-09-18 08:00:00,24.9,8.0,7.4,378.2,10.0,1.4,0.02,0.021,1.25
2024-09-18 12:00:00,25.1,8.0,7.7,382.6,10.9,1.1,0.02,0.02,1.27
2024-09-18 16:00:00,26.0,8.0,8.0,385.3,10.5,1.1,0.02,0.02,1.29
2024-09-18 20:00:00,26.0,8.0,7.9,385.7,9.5,1.2,0.02,0.02,1.27
2024-09-19 08:00:00,25.6,8.0,7.3,387.0,9.2,1.1,0.02,0.019,1.26
2024-09-19 12:00:00,26.0,8.0,7.6,386.9,8.3,1.4,0.02,0.019,1.28
2024-09-20 04:00:00,26.2,8.0,7.3,386.0,10.9,1.0,0.02,0.019,1.31
2024-09-20 08:00:00,26.0,8.0,7.3,384.8,11.4,1.5,0.02,0.02,1.36
2024-09-20 12:00:00,25.4,8.0,7.4,384.5,19.7,1.2,0.02,0.022,1.45
2024-09-20 16:00:00,25.2,8.0,7.6,383.1,13.4,1.1,0.02,0.02,1.45
2024-09-20 20:00:00,24.7,8.0,7.7,381.3,12.0,1.2,0.02,0.02,1.45
2024-09-21 00:00:00,24.4,8.0,7.6,379.3,11.8,1.0,0.02,0.021,1.47
2024-09-21 04:00:00,24.2,8.0,7.5,378.4,11.7,1.1,0.02,0.021,1.44
2024-09-21 08:00:00,24.0,8.0,7.5,373.5,12.5,1.5,0.02,0.021,1.48
2024-09-21 12:00:00,24.6,8.0,7.5,377.0,41.1,1.5,0.02,0.032,1.75
2024-09-21 16:00:00,26.1,8.0,7.6,374.7,64.8,1.6,0.02,0.036,1.79
2024-09-21 20:00:00,25.7,8.0,7.7,375.3,35.8,1.3,0.02,0.029,1.64
2024-09-22 00:00:00,25.3,8.0,7.6,377.4,27.4,1.2,0.02,0.024,1.57
2024-09-22 04:00:00,24.8,8.0,7.6,378.7,25.0,1.2,0.02,0.024,1.52
2024-09-22 08:00:00,24.4,8.0,7.6,380.6,21.9,1.6,0.02,0.024,1.58
2024-09-22 16:00:00,25.1,8.0,7.8,386.7,24.8,1.2,0.02,0.025,1.58
2024-09-22 20:00:00,24.8,8.0,7.8,386.3,24.3,1.2,0.02,0.025,1.6
2024-09-22 20:00:00,24.8,8.0,7.8,386.3,24.3,1.1,0.02,0.025,1.55
2024-09-23 04:00:00,23.9,8.0,7.5,381.2,33.8,1.4,0.02,0.025,1.64
2024-09-23 08:00:00,23.1,8.0,7.6,370.4,42.8,1.3,0.02,0.029,2.07
2024-09-23 12:00:00,23.4,8.0,7.6,359.0,57.2,1.8,0.02,0.036,2.58
2024-09-23 16:00:00,24.5,8.0,7.6,350.1,73.0,1.7,0.02,0.04,2.84
2024-09-23 20:00:00,24.2,8.0,7.6,343.8,75.0,2.0,0.02,0.04,2.96
2024-09-23 20:00:00,24.2,8.0,7.6,343.8,75.0,2.0,0.02,0.052,2.83
2024-09-24 04:00:00,23.7,8.0,7.5,343.2,61.1,2.0,0.02,0.048,2.75
2024-09-24 08:00:00,23.2,8.0,7.6,343.0,64.9,2.0,0.02,0.037,2.72
2024-09-24 12:00:00,23.2,8.0,7.7,343.8,52.9,2.3,0.02,0.035,2.56
2024-09-24 16:00:00,23.8,8.0,7.8,345.2,49.4,2.3,0.02,0.033,2.56
2024-09-24 20:00:00,23.7,8.0,7.8,346.3,44.0,2.3,0.02,0.033,2.43
2024-09-24 20:00:00,23.7,8.0,7.8,346.3,44.0,1.9,0.02,0.029,2.34
2024-09-25 04:00:00,23.4,8.0,7.7,346.5,42.9,1.8,0.02,0.037,2.23
2024-09-25 08:00:00,23.2,8.0,7.6,345.3,40.7,1.8,0.02,0.028,2.24
2024-09-25 12:00:00,23.4,8.0,7.8,345.6,43.2,2.1,0.02,0.029,2.25
2024-09-25 16:00:00,24.5,8.0,7.9,346.3,41.9,1.9,0.02,0.029,2.24
2024-09-25 20:00:00,24.2,8.0,7.8,345.9,38.8,1.8,0.02,0.029,2.21
2024-09-25 20:00:00,24.2,8.0,7.8,345.9,38.8,1.7,0.02,0.029,2.24
2024-09-26 04:00:00,23.8,8.0,7.6,346.3,41.2,1.9,0.02,0.03,2.23
2024-09-26 08:00:00,23.8,8.0,7.6,346.5,37.3,1.8,0.02,0.029,2.17
2024-09-26 12:00:00,24.3,8.0,7.7,347.3,40.6,2.1,0.02,0.028,2.2
2024-09-27 04:00:00,24.2,8.0,7.6,350.3,29.5,1.7,0.02,0.025,1.94
2024-09-27 12:00:00,24.3,8.0,7.7,353.6,28.8,2.0,0.02,0.026,1.89
2024-09-27 16:00:00,24.4,8.0,7.8,355.7,29.1,1.7,0.02,0.025,1.91
