监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-17 04:00:00,21.8,8.0,9.6,360.6,63.3,1.7,0.14,0.133,0.44
2024-09-17 08:00:00,21.6,8.0,9.6,386.2,63.3,1.7,0.14,0.133,0.8
2024-09-17 12:00:00,23.5,8.0,9.0,407.3,63.3,1.7,0.17,0.133,0.77
2024-09-17 16:00:00,24.9,8.0,8.6,427.1,63.3,1.4,0.17,0.133,1.11
2024-09-17 20:00:00,24.2,8.0,8.6,441.2,63.3,1.5,0.17,0.133,1.14
2024-09-18 00:00:00,24.1,8.0,8.6,453.8,63.3,1.5,0.17,0.133,1.14
2024-09-18 04:00:00,23.5,8.0,8.8,458.0,63.3,1.5,0.17,0.133,1.47
2024-09-18 08:00:00,22.9,8.0,9.2,467.4,63.3,1.4,0.17,0.133,1.33
2024-09-18 12:00:00,24.9,8.0,9.0,475.6,63.3,1.5,0.17,0.133,1.42
2024-09-18 16:00:00,25.8,8.0,8.5,476.0,63.3,1.4,0.17,0.133,1.71
2024-09-19 00:00:00,24.8,8.0,8.4,498.6,63.3,1.6,0.17,0.133,1.52
2024-09-19 08:00:00,24.0,8.0,8.7,505.0,63.3,1.4,0.15,0.133,1.68
2024-09-19 12:00:00,25.4,8.0,8.7,509.4,63.3,1.3,0.15,0.133,1.71
2024-09-20 08:00:00,24.1,8.0,8.6,529.8,63.3,1.4,0.17,0.133,2.04
2024-09-20 12:00:00,26.1,8.0,8.6,532.5,63.3,1.3,0.14,0.133,2.1
2024-09-20 16:00:00,26.6,8.0,8.2,539.5,63.3,1.3,0.14,0.133,2.14
2024-09-20 16:00:00,26.6,8.0,8.2,539.5,63.3,1.2,0.17,0.133,2.09
2024-09-21 00:00:00,24.5,8.0,8.2,546.1,63.3,1.3,0.13,0.133,2.16
2024-09-21 04:00:00,23.9,8.0,8.4,551.0,63.3,1.3,0.16,0.133,2.38
2024-09-21 08:00:00,23.9,8.0,8.8,538.6,63.3,1.1,0.13,0.133,2.38
2024-09-21 12:00:00,25.4,8.0,8.9,523.5,63.3,1.1,0.15,0.133,2.14
2024-09-21 16:00:00,25.8,8.0,8.5,486.0,63.3,1.1,0.14,0.133,1.78
2024-09-21 20:00:00,25.0,8.0,8.3,501.3,63.3,1.8,0.13,0.133,1.83
2024-09-22 00:00:00,24.2,8.0,8.4,522.2,63.3,1.6,0.16,0.133,1.85
