监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,19.5,8.0,9.7,226.5,46.7,6.4,0.02,0.188,3.93
2024-09-15 20:00:00,19.5,8.0,9.7,226.5,46.7,6.4,0.02,0.188,3.93
2024-09-16 00:00:00,19.5,8.0,9.8,226.7,46.7,6.2,0.02,0.139,5.08
2024-09-16 08:00:00,19.4,8.0,9.8,240.1,46.7,5.1,0.02,0.106,3.65
2024-09-16 12:00:00,19.4,8.0,9.8,244.8,46.7,4.1,0.02,0.096,3.65
2024-09-16 16:00:00,19.6,8.0,9.8,247.0,46.7,6.5,0.02,0.083,3.65
2024-09-16 20:00:00,19.5,8.0,9.8,257.5,46.7,6.5,0.02,0.083,3.65
2024-09-16 20:00:00,19.5,8.0,9.8,257.5,46.7,6.5,0.02,0.083,3.65
2024-09-17 04:00:00,18.8,8.0,9.7,224.2,46.7,6.5,0.02,0.184,3.65
2024-09-17 08:00:00,18.7,8.0,10.1,226.4,46.7,6.5,0.02,0.131,3.65
2024-09-17 12:00:00,18.9,8.0,10.1,232.2,46.7,6.0,0.02,0.092,3.65
2024-09-17 16:00:00,19.1,8.0,10.0,238.1,46.7,5.3,0.02,0.08,4.3
2024-09-17 20:00:00,19.5,8.0,9.9,246.6,46.7,4.4,0.02,0.063,1.92
2024-09-17 20:00:00,19.5,8.0,9.9,246.6,46.7,4.4,0.02,0.063,1.92
2024-09-18 04:00:00,19.5,8.0,9.8,255.5,46.7,3.5,0.02,0.161,2.89
2024-09-18 08:00:00,19.7,8.0,9.8,260.4,46.7,3.3,0.02,0.055,2.42
2024-09-18 12:00:00,20.1,8.0,9.7,264.2,46.7,3.1,0.02,0.148,2.45
2024-09-18 16:00:00,20.2,8.0,9.5,266.4,46.7,2.7,0.02,0.052,2.48
2024-09-18 20:00:00,20.2,8.0,9.6,268.0,46.7,2.2,0.02,0.04,2.32
2024-09-19 08:00:00,20.3,8.0,9.5,279.5,46.7,1.8,0.02,0.038,2.0
2024-09-19 12:00:00,20.5,8.0,9.3,281.5,46.7,1.8,0.02,0.042,2.18
2024-09-20 04:00:00,20.2,8.0,9.2,287.0,46.7,1.3,0.02,0.036,1.95
2024-09-20 08:00:00,20.2,8.0,9.2,288.7,46.7,1.2,0.02,0.035,1.87
2024-09-20 12:00:00,20.2,8.0,9.2,293.7,46.7,1.4,0.02,0.039,2.19
2024-09-20 16:00:00,20.3,8.0,8.8,294.4,46.7,1.4,0.02,0.041,2.17
2024-09-20 20:00:00,20.3,8.0,8.9,294.2,46.7,1.2,0.02,0.036,2.23
2024-09-21 00:00:00,20.4,8.0,8.8,296.2,46.7,1.1,0.02,0.029,2.18
2024-09-21 04:00:00,20.6,8.0,8.9,297.3,59.5,0.7,0.02,0.052,1.76
2024-09-21 08:00:00,20.5,8.0,8.9,296.8,76.0,1.1,0.02,0.027,1.81
2024-09-21 12:00:00,20.4,8.0,9.0,298.3,76.0,1.3,0.02,0.031,1.87
2024-09-21 16:00:00,20.7,8.0,8.9,299.5,76.0,1.1,0.02,0.042,2.13
2024-09-21 20:00:00,20.7,8.0,8.9,298.3,74.7,0.9,0.02,0.036,2.18
