监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,31.9,8.0,6.3,347.9,5.4,5.1,0.02,0.042,0.55
2024-09-16 00:00:00,31.1,8.0,5.5,349.9,5.0,5.1,0.02,0.042,0.55
2024-09-16 04:00:00,30.6,8.0,4.5,349.9,6.6,5.0,0.03,0.043,0.58
2024-09-16 08:00:00,30.9,8.0,3.8,351.1,6.1,5.0,0.03,0.039,0.55
2024-09-16 12:00:00,33.0,8.0,4.1,351.0,6.0,4.8,0.03,0.045,0.53
2024-09-16 16:00:00,32.5,8.0,5.7,348.2,5.2,5.2,0.02,0.044,0.53
2024-09-16 20:00:00,31.8,8.0,6.5,347.3,5.4,4.8,0.02,0.04,0.54
2024-09-17 00:00:00,31.2,8.0,5.9,348.4,5.4,4.8,0.02,0.04,0.54
2024-09-17 04:00:00,30.8,8.0,5.0,357.4,9.0,4.8,0.02,0.046,0.58
2024-09-17 08:00:00,30.6,8.0,4.1,348.4,6.3,4.8,0.03,0.041,0.57
2024-09-17 12:00:00,33.2,8.0,4.6,349.7,7.0,5.1,0.03,0.045,0.51
2024-09-17 16:00:00,33.2,8.0,5.2,349.0,4.9,4.7,0.03,0.04,0.55
2024-09-17 20:00:00,32.0,8.0,6.1,352.5,5.1,5.3,0.02,0.039,0.56
2024-09-18 00:00:00,31.2,8.0,5.5,346.0,7.5,5.3,0.02,0.039,0.56
2024-09-18 04:00:00,30.9,8.0,5.6,349.1,8.4,4.9,0.02,0.042,0.63
2024-09-18 08:00:00,30.8,8.0,5.1,345.0,7.0,4.5,0.02,0.042,0.55
2024-09-18 12:00:00,33.0,8.0,4.9,346.3,52.9,4.9,0.02,0.042,0.57
2024-09-18 16:00:00,32.8,8.0,5.9,347.4,5.3,4.9,0.02,0.043,0.55
2024-09-19 00:00:00,31.0,8.0,6.3,347.2,7.5,5.2,0.02,0.041,0.59
2024-09-19 08:00:00,30.6,8.0,4.7,346.1,8.5,4.8,0.02,0.037,0.57
2024-09-19 12:00:00,33.8,8.0,4.5,355.4,6.7,4.6,0.03,0.041,0.57
2024-09-20 08:00:00,31.0,8.0,5.6,343.8,11.0,4.7,0.02,0.042,0.6
2024-09-20 12:00:00,33.5,8.0,4.2,349.4,5.6,4.7,0.03,0.046,0.51
