监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-17 12:00:00,32.4,8.0,5.3,415.4,17.1,5.1,0.02,0.184,0.61
2024-09-17 16:00:00,33.0,9.0,8.2,411.1,13.6,5.0,0.02,0.181,0.65
2024-09-17 20:00:00,32.4,8.0,7.5,409.3,10.0,4.6,0.02,0.164,0.58
2024-09-18 00:00:00,31.8,8.0,5.8,410.3,12.6,4.6,0.02,0.164,0.58
2024-09-18 04:00:00,31.5,8.0,5.2,410.7,14.3,4.9,0.02,0.171,0.56
2024-09-18 08:00:00,31.3,8.0,3.9,412.0,15.5,4.6,0.02,0.176,0.53
2024-09-18 12:00:00,31.8,8.0,7.5,417.8,13.2,5.5,0.02,0.19,0.66
2024-09-18 16:00:00,33.2,9.0,10.2,416.1,12.4,5.6,0.02,0.19,0.6
2024-09-19 00:00:00,31.8,9.0,7.7,417.8,12.2,5.3,0.02,0.183,0.63
2024-09-19 08:00:00,31.2,8.0,4.2,418.8,13.4,5.1,0.02,0.194,0.62
2024-09-19 12:00:00,33.0,8.0,7.7,419.5,13.8,5.1,0.02,0.193,0.61
2024-09-20 08:00:00,31.4,8.0,6.2,416.6,15.2,5.0,0.02,0.191,0.53
2024-09-20 12:00:00,32.9,9.0,10.5,413.2,16.7,4.8,0.02,0.191,0.58
2024-09-20 16:00:00,35.3,9.0,14.0,412.4,11.8,5.6,0.02,0.194,0.65
2024-09-20 20:00:00,32.5,9.0,11.1,411.5,14.5,5.9,0.02,0.191,0.68
2024-09-21 00:00:00,31.4,8.0,5.4,416.7,15.5,5.6,0.02,0.189,0.62
2024-09-21 04:00:00,31.0,8.0,4.3,417.5,13.5,5.1,0.02,0.191,0.58
2024-09-21 08:00:00,30.8,8.0,3.6,416.9,12.5,4.8,0.02,0.189,0.59
2024-09-21 12:00:00,32.2,8.0,5.9,418.1,11.9,5.1,0.02,0.193,0.63
2024-09-21 16:00:00,32.6,9.0,10.8,411.6,12.0,5.4,0.02,0.192,0.69
2024-09-21 20:00:00,31.2,8.0,6.8,412.6,14.2,5.2,0.02,0.187,0.64
2024-09-22 00:00:00,30.9,8.0,4.5,415.8,14.2,5.1,0.02,0.187,0.6
2024-09-22 04:00:00,30.7,8.0,4.5,415.7,11.1,5.4,0.02,0.189,0.62
2024-09-22 08:00:00,30.6,8.0,4.5,413.2,10.6,4.6,0.02,0.193,0.62
2024-09-22 12:00:00,31.9,8.0,5.2,416.6,11.8,4.5,0.02,0.199,0.66
2024-09-22 16:00:00,32.3,9.0,8.9,411.3,11.5,4.9,0.02,0.195,0.68
2024-09-22 20:00:00,31.1,8.0,6.7,412.6,13.2,5.2,0.02,0.201,0.62
2024-09-23 00:00:00,30.6,8.0,4.0,414.1,12.8,5.4,0.02,0.198,0.62
2024-09-23 04:00:00,30.4,8.0,4.0,412.6,11.6,4.6,0.02,0.196,0.59
2024-09-23 08:00:00,30.3,8.0,4.0,410.4,9.0,4.6,0.02,0.198,0.61
2024-09-23 12:00:00,31.4,8.0,4.9,414.8,8.8,4.4,0.02,0.209,0.65
2024-09-23 16:00:00,32.9,9.0,10.8,411.9,11.3,4.8,0.02,0.204,0.66
2024-09-23 20:00:00,32.0,9.0,9.6,411.9,9.9,5.7,0.02,0.217,0.73
2024-09-24 00:00:00,31.0,8.0,7.6,413.4,14.4,5.3,0.02,0.21,0.61
2024-09-24 04:00:00,30.6,8.0,6.4,413.5,15.6,5.0,0.02,0.21,0.57
2024-09-24 08:00:00,30.4,8.0,4.5,412.1,14.2,5.0,0.02,0.209,0.55
2024-09-24 12:00:00,31.9,8.0,7.7,415.4,14.1,5.4,0.02,0.213,0.61
2024-09-24 16:00:00,33.0,9.0,11.5,412.5,13.4,5.3,0.02,0.212,0.58
2024-09-24 20:00:00,32.0,9.0,9.9,413.0,10.6,5.8,0.02,0.208,0.59
2024-09-25 00:00:00,31.0,8.0,7.8,413.7,15.6,5.1,0.02,0.2,0.57
2024-09-25 04:00:00,30.6,8.0,5.8,414.4,16.8,5.1,0.02,0.205,0.55
2024-09-25 08:00:00,30.4,8.0,4.0,414.4,15.8,4.8,0.02,0.206,0.53
2024-09-25 12:00:00,30.9,8.0,6.6,414.4,13.5,4.9,0.02,0.214,0.56
2024-09-25 16:00:00,31.7,9.0,11.0,411.3,14.6,5.4,0.02,0.211,0.63
2024-09-25 20:00:00,30.6,8.0,6.5,414.4,15.2,5.7,0.02,0.21,0.59
2024-09-26 00:00:00,30.3,8.0,4.4,415.5,14.2,5.0,0.02,0.208,0.54
2024-09-26 04:00:00,30.2,8.0,3.5,412.8,12.4,5.3,0.02,0.206,0.6
2024-09-26 08:00:00,30.0,8.0,3.5,413.1,8.9,4.6,0.02,0.208,0.62
2024-09-26 12:00:00,31.2,8.0,4.6,416.0,8.9,4.5,0.08,0.22,0.7
2024-09-27 08:00:00,30.0,8.0,4.6,412.6,10.3,4.6,0.02,0.196,0.58
2024-09-27 12:00:00,31.3,8.0,6.5,412.9,12.9,4.6,0.02,0.196,0.58
2024-09-27 16:00:00,29.9,9.0,7.2,3.3,1.0,5.0,0.05,0.19,0.66
2024-10-10 04:00:00,23.8,8.0,7.2,479.0,19.1,5.0,0.05,0.177,1.1
2024-10-10 08:00:00,23.6,8.0,7.2,478.8,25.2,5.0,0.05,0.181,1.1
2024-10-10 12:00:00,23.5,8.0,3.5,479.5,20.3,5.0,0.05,0.181,1.04
2024-10-10 16:00:00,23.6,8.0,3.8,480.0,18.5,5.0,0.05,0.183,1.11
2024-10-10 20:00:00,23.4,8.0,3.8,487.9,21.5,5.0,0.05,0.18,1.11
2024-10-10 20:00:00,23.4,8.0,3.8,487.9,21.5,5.0,0.05,0.18,1.11
2024-10-11 04:00:00,23.2,8.0,3.8,497.1,20.5,5.0,0.05,0.178,1.1
2024-10-11 08:00:00,23.1,8.0,3.8,502.5,21.3,4.8,0.05,0.175,1.1
2024-10-11 12:00:00,23.1,8.0,3.8,507.4,20.4,4.7,0.05,0.174,1.11
2024-10-11 16:00:00,23.1,8.0,3.8,508.2,20.4,4.6,0.05,0.172,1.14
2024-10-11 20:00:00,23.1,8.0,3.8,510.4,22.8,4.6,0.05,0.172,1.15
2024-10-12 04:00:00,22.9,8.0,3.8,512.1,21.1,4.4,0.05,0.169,1.21
2024-10-12 08:00:00,22.8,8.0,3.8,511.3,20.8,4.5,0.05,0.169,1.23
2024-10-12 16:00:00,23.2,8.0,4.6,513.3,17.6,4.9,0.05,0.172,1.31
2024-10-12 20:00:00,22.9,8.0,3.5,513.9,18.3,4.3,0.05,0.167,1.26
2024-10-13 00:00:00,22.8,8.0,3.5,514.8,20.5,4.7,0.05,0.166,1.24
2024-10-13 04:00:00,22.7,8.0,3.5,517.8,22.6,4.3,0.05,0.165,1.26
2024-10-13 12:00:00,23.7,8.0,4.2,519.7,19.9,4.7,0.05,0.164,1.23
2024-10-13 16:00:00,24.8,8.0,6.8,518.1,15.6,5.1,0.05,0.168,1.25
2024-10-14 00:00:00,23.3,8.0,5.6,516.6,20.0,4.9,0.05,0.164,1.21
2024-10-14 04:00:00,23.0,8.0,4.9,516.3,25.3,4.6,0.05,0.164,1.52
2024-10-14 04:00:00,23.0,8.0,4.9,516.3,25.3,4.6,0.05,0.164,1.52
2024-10-14 04:00:00,23.0,8.0,4.9,516.3,25.3,4.6,0.05,0.164,1.52
2024-10-21 08:00:00,22.3,8.0,5.6,495.9,18.7,4.8,0.11,0.109,1.38
2024-10-21 12:00:00,22.5,8.0,7.3,490.3,14.9,4.3,0.08,0.11,1.43
2024-10-21 16:00:00,22.5,8.0,7.7,487.9,16.0,5.4,0.07,0.107,1.44
2024-10-21 20:00:00,22.3,8.0,6.0,486.1,17.9,5.2,0.1,0.112,1.44
2024-10-21 20:00:00,22.3,8.0,6.0,486.1,17.9,5.3,0.1,0.112,1.44
2024-10-22 04:00:00,22.1,8.0,5.6,471.6,19.7,4.9,0.08,0.114,1.42
2024-10-22 08:00:00,22.0,8.0,5.4,467.7,20.2,5.1,0.08,0.114,1.42
2024-10-22 12:00:00,22.8,8.0,6.3,467.1,17.3,5.0,0.07,0.122,1.44
2024-10-22 12:00:00,22.8,8.0,6.3,467.1,17.3,5.0,0.07,0.122,1.44
2024-10-22 16:00:00,23.8,8.0,7.8,467.9,14.6,5.3,0.05,0.124,1.45
2024-10-23 04:00:00,22.0,8.0,5.6,477.0,17.2,5.0,0.08,0.139,1.75
2024-10-23 08:00:00,21.9,8.0,5.0,480.0,20.0,4.8,0.1,0.14,1.7
2024-10-23 12:00:00,22.9,8.0,6.3,480.3,16.6,4.6,0.08,0.141,1.71
2024-10-23 16:00:00,24.2,8.0,7.4,483.2,14.1,5.0,0.05,0.137,1.72
2024-10-23 20:00:00,22.8,8.0,7.5,484.6,13.1,5.0,0.05,0.135,1.73
2024-10-23 20:00:00,22.8,8.0,7.5,484.6,13.1,4.7,0.05,0.135,1.73
2024-10-24 04:00:00,22.0,8.0,5.9,485.5,15.6,4.7,0.05,0.138,1.81
2024-10-24 08:00:00,22.0,8.0,5.9,488.7,15.7,4.6,0.04,0.136,1.74
2024-10-24 12:00:00,22.5,8.0,7.3,492.3,13.8,4.7,0.02,0.138,1.84
2024-10-24 16:00:00,23.0,8.0,9.3,493.6,12.6,5.3,0.02,0.136,1.81
2024-10-24 20:00:00,22.6,8.0,8.4,499.2,13.1,5.1,0.02,0.134,1.79
2024-10-24 20:00:00,22.6,8.0,8.4,499.2,13.1,5.1,0.02,0.134,1.79
2024-10-25 04:00:00,22.2,8.0,6.7,509.6,15.0,4.3,0.02,0.136,1.89
2024-10-25 16:00:00,25.4,9.0,10.5,523.6,12.3,5.5,0.02,0.137,2.11
2024-10-25 20:00:00,24.4,9.0,10.2,529.3,12.8,5.5,0.02,0.132,1.96
2024-10-25 20:00:00,24.4,9.0,10.2,529.3,12.8,4.8,0.02,0.132,1.96
2024-10-26 04:00:00,23.3,8.0,9.0,533.1,15.8,5.0,0.02,0.127,1.96
2024-10-26 08:00:00,23.0,8.0,8.7,546.3,13.8,4.8,0.02,0.124,2.05
2024-10-26 12:00:00,22.9,8.0,9.5,540.0,12.6,4.8,0.02,0.13,2.04
2024-10-26 16:00:00,22.8,9.0,9.4,548.2,13.7,5.3,0.02,0.128,2.02
2024-10-26 20:00:00,22.6,8.0,9.0,555.4,13.7,5.2,0.02,0.126,2.06
2024-10-26 20:00:00,22.6,8.0,9.0,555.4,13.7,4.8,0.02,0.126,2.06
2024-10-27 04:00:00,22.1,8.0,6.8,567.2,15.8,4.8,0.03,0.129,2.13
2024-10-27 08:00:00,22.0,8.0,6.0,566.0,18.2,4.9,0.04,0.13,2.02
2024-10-27 12:00:00,23.2,8.0,7.2,568.6,16.2,4.6,0.03,0.129,2.01
2024-10-28 08:00:00,21.8,8.0,5.3,571.2,21.2,4.6,0.05,0.132,1.95
2024-10-28 12:00:00,23.2,8.0,6.8,574.1,19.2,5.0,0.03,0.128,1.92
2024-10-28 16:00:00,24.4,8.0,8.2,570.0,16.7,5.0,0.02,0.134,1.99
2024-10-28 20:00:00,23.0,8.0,8.6,568.3,15.1,5.0,0.02,0.125,1.91
2024-10-29 00:00:00,22.3,8.0,8.9,572.5,16.3,5.2,0.02,0.127,1.96
2024-10-29 04:00:00,21.9,8.0,8.2,572.4,17.3,5.1,0.02,0.127,1.94
2024-10-29 08:00:00,21.8,8.0,7.9,575.6,19.3,5.0,0.02,0.127,1.9
2024-10-29 12:00:00,21.9,8.0,8.0,574.1,17.4,5.1,0.02,0.129,1.96
2024-10-29 16:00:00,22.3,8.0,8.7,572.9,16.4,5.2,0.02,0.127,1.96
2024-10-29 20:00:00,21.9,8.0,7.7,574.9,19.1,5.3,0.02,0.129,2.01
2024-10-30 00:00:00,21.8,8.0,7.6,576.5,19.2,5.1,0.02,0.129,2.02
2024-10-30 04:00:00,21.7,8.0,8.0,576.3,19.5,4.6,0.02,0.126,2.03
2024-10-30 08:00:00,21.6,8.0,8.2,577.8,21.0,4.6,0.02,0.126,2.03
2024-10-30 12:00:00,21.9,8.0,8.0,578.2,18.7,5.2,0.02,0.13,2.09
2024-10-30 12:00:00,21.9,8.0,8.0,578.2,18.7,5.2,0.02,0.13,2.09
2024-10-30 12:00:00,21.9,8.0,8.0,578.2,18.7,5.2,0.02,0.13,2.09
2024-10-30 12:00:00,21.9,8.0,8.0,578.2,18.7,5.2,0.02,0.13,2.09
2024-10-30 12:00:00,21.9,8.0,8.0,578.2,18.7,5.0,0.02,0.125,1.99
2024-10-31 08:00:00,21.6,8.0,6.9,579.4,18.5,5.2,0.02,0.13,2.09
2024-10-31 12:00:00,21.6,8.0,7.0,581.5,17.9,5.1,0.02,0.125,2.12
2024-10-31 16:00:00,21.6,8.0,7.2,579.6,18.8,5.2,0.02,0.128,2.13
2024-10-31 20:00:00,21.6,8.0,6.2,582.7,19.4,5.4,0.02,0.123,2.13
2024-10-31 20:00:00,21.6,8.0,6.2,582.7,19.4,4.8,0.02,0.123,2.13
2024-11-01 04:00:00,21.4,8.0,5.8,582.4,21.5,4.7,0.03,0.123,2.13
2024-11-01 08:00:00,21.4,8.0,5.8,584.5,20.2,4.9,0.03,0.123,2.13
2024-11-01 12:00:00,22.0,8.0,7.0,582.5,18.0,4.7,0.04,0.123,2.11
2024-11-02 04:00:00,21.4,8.0,6.6,582.6,17.8,4.7,0.02,0.116,2.1
2024-11-02 12:00:00,21.7,8.0,6.7,583.4,16.5,4.7,0.03,0.118,2.11
2024-11-02 16:00:00,23.2,9.0,10.2,581.3,15.8,4.7,0.02,0.114,2.06
2024-11-04 12:00:00,21.2,8.0,6.1,575.8,17.8,4.5,0.02,0.107,2.12
2024-11-04 16:00:00,21.4,8.0,7.0,573.0,16.6,4.6,0.02,0.107,2.14
2024-11-04 20:00:00,21.1,8.0,6.5,568.9,17.1,5.1,0.02,0.115,2.1
2024-11-05 00:00:00,20.9,8.0,6.9,571.9,17.1,5.1,0.02,0.115,2.1
2024-11-05 12:00:00,21.3,8.0,6.2,574.4,15.2,4.5,0.02,0.109,1.96
2024-11-05 16:00:00,22.2,8.0,9.4,570.7,15.0,4.7,0.02,0.114,2.1
2024-11-05 20:00:00,21.3,8.0,8.8,569.1,13.3,5.8,0.02,0.106,2.04
2024-11-05 20:00:00,21.3,8.0,8.8,569.1,13.3,4.6,0.02,0.106,2.04
2024-11-06 04:00:00,20.9,8.0,7.7,565.9,17.4,4.7,0.02,0.108,2.03
2024-11-06 08:00:00,20.8,8.0,5.9,564.1,16.1,4.7,0.02,0.108,2.05
2024-11-06 12:00:00,20.7,8.0,5.7,562.4,17.3,4.7,0.02,0.108,2.09
2024-11-06 16:00:00,20.7,8.0,8.0,560.6,19.6,4.5,0.02,0.111,2.02
