监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,31.1,8.0,6.9,426.0,53.8,2.1,0.1,0.16,2.51
2024-09-16 00:00:00,30.8,8.0,6.9,427.7,50.2,2.1,0.1,0.16,2.51
2024-09-16 04:00:00,30.6,8.0,7.0,427.8,49.4,2.1,0.1,0.153,2.48
2024-09-16 08:00:00,30.5,8.0,7.0,427.8,53.1,2.3,0.08,0.152,2.48
2024-09-16 12:00:00,30.5,8.0,7.0,427.0,68.5,2.4,0.1,0.164,2.5
2024-09-16 16:00:00,30.8,8.0,7.1,426.6,66.5,2.4,0.1,0.172,2.6
2024-09-16 20:00:00,30.6,8.0,7.2,431.4,66.5,2.6,0.11,0.175,2.72
2024-09-17 00:00:00,30.0,8.0,7.4,428.0,66.5,2.6,0.11,0.175,2.72
2024-09-17 04:00:00,29.6,8.0,7.7,410.1,66.5,3.6,0.11,0.175,2.58
2024-09-17 08:00:00,28.5,8.0,8.1,354.8,66.5,3.6,0.12,0.175,2.06
2024-09-17 12:00:00,28.4,8.0,7.6,325.9,66.5,3.6,0.17,0.175,2.55
2024-09-17 16:00:00,28.6,8.0,7.4,320.6,66.5,3.6,0.17,0.175,4.15
2024-09-17 20:00:00,28.2,8.0,7.5,330.7,66.5,3.6,0.17,0.175,4.15
2024-09-18 00:00:00,28.1,8.0,7.5,350.3,66.5,3.6,0.17,0.175,4.15
2024-09-18 04:00:00,28.1,8.0,7.6,368.9,66.5,3.6,0.17,0.175,4.34
2024-09-18 08:00:00,27.9,8.0,7.5,381.4,66.5,3.6,0.12,0.175,3.71
2024-09-18 12:00:00,28.0,8.0,7.8,385.0,66.5,3.6,0.12,0.175,3.77
2024-09-18 16:00:00,28.0,8.0,7.7,382.9,66.5,3.6,0.16,0.175,3.84
2024-09-19 00:00:00,27.4,8.0,7.8,375.9,66.5,3.6,0.17,0.175,4.23
2024-09-19 08:00:00,26.8,8.0,7.8,371.0,66.5,3.6,0.17,0.175,3.29
2024-09-19 12:00:00,27.0,8.0,7.9,371.7,66.5,6.0,0.13,0.175,2.63
2024-09-20 08:00:00,26.8,8.0,7.6,359.1,66.5,3.4,0.13,0.175,2.52
2024-09-20 12:00:00,27.2,8.0,7.6,355.5,66.5,3.0,0.16,0.175,2.5
2024-09-20 16:00:00,27.5,8.0,7.5,350.9,66.5,3.0,0.11,0.175,2.56
2024-09-20 20:00:00,27.5,8.0,7.5,347.3,66.5,3.0,0.17,0.208,2.69
2024-09-21 00:00:00,27.4,8.0,7.4,343.7,66.5,2.8,0.13,0.2,2.72
2024-09-21 04:00:00,27.2,8.0,7.4,338.5,66.5,3.0,0.13,0.198,2.81
2024-09-21 08:00:00,27.2,8.0,7.4,336.6,66.5,2.9,0.17,0.005,2.77
2024-09-21 12:00:00,27.4,8.0,7.4,333.2,66.5,2.9,0.15,0.005,2.9
2024-09-21 16:00:00,27.4,8.0,7.4,328.3,66.5,3.3,0.15,0.182,2.71
2024-09-21 20:00:00,27.2,8.0,7.3,326.9,66.5,3.1,0.15,0.186,2.73
2024-09-22 00:00:00,27.0,8.0,7.3,325.0,66.5,3.1,0.14,0.18,2.73
2024-09-22 04:00:00,26.9,8.0,7.4,320.1,66.5,3.1,0.14,0.181,2.81
2024-09-22 08:00:00,26.9,8.0,7.3,319.7,66.5,3.2,0.16,0.168,2.75
2024-09-22 12:00:00,27.1,8.0,7.3,318.0,66.5,3.1,0.14,0.168,2.72
2024-09-22 16:00:00,27.5,8.0,7.3,314.3,66.5,3.3,0.15,0.182,2.88
2024-09-22 20:00:00,27.5,8.0,7.3,312.6,66.5,3.4,0.16,0.173,2.83
