监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,31.5,8.0,7.5,238.1,11.1,2.5,0.02,0.022,0.85
2024-09-16 00:00:00,31.2,8.0,7.4,239.9,9.1,2.5,0.02,0.022,0.85
2024-09-16 04:00:00,31.1,8.0,7.3,240.3,8.0,2.5,0.02,0.02,0.87
2024-09-16 08:00:00,31.1,8.0,7.3,242.0,8.0,2.7,0.02,0.02,0.85
2024-09-16 12:00:00,32.5,8.0,7.7,241.0,8.6,2.5,0.02,0.02,0.86
2024-09-16 16:00:00,32.2,8.0,7.6,241.9,9.9,2.5,0.02,0.02,0.86
2024-09-16 20:00:00,31.7,8.0,7.5,240.7,9.6,2.5,0.02,0.021,0.85
2024-09-17 00:00:00,31.4,8.0,7.3,241.1,9.3,2.5,0.02,0.021,0.85
2024-09-17 04:00:00,31.2,8.0,7.3,238.9,8.4,2.2,0.02,0.02,0.84
2024-09-17 08:00:00,31.2,8.0,7.2,237.5,7.9,2.4,0.02,0.02,0.82
2024-09-17 12:00:00,32.4,8.0,7.5,237.1,8.2,2.5,0.02,0.02,0.79
2024-09-17 16:00:00,32.2,8.0,7.6,236.2,9.3,2.4,0.02,0.019,0.82
2024-09-17 20:00:00,31.6,8.0,7.1,236.8,10.1,2.2,0.02,0.02,0.84
2024-09-18 00:00:00,31.4,8.0,7.1,235.9,9.3,2.2,0.02,0.02,0.84
2024-09-18 04:00:00,31.2,8.0,7.0,235.1,7.9,2.1,0.02,0.018,0.86
2024-09-18 08:00:00,31.1,8.0,7.0,235.2,8.1,2.2,0.02,0.018,0.82
2024-09-18 12:00:00,32.6,8.0,7.6,234.6,10.0,2.0,0.02,0.02,0.8
2024-09-18 16:00:00,33.4,8.0,8.1,235.3,10.4,2.8,0.02,0.021,0.8
2024-09-19 00:00:00,31.4,8.0,7.2,237.0,9.8,2.1,0.02,0.019,0.85
2024-09-19 08:00:00,31.2,8.0,7.0,237.5,8.6,2.2,0.02,0.019,0.78
2024-09-19 12:00:00,33.1,8.0,7.8,236.8,8.9,2.3,0.02,0.02,0.83
2024-09-20 08:00:00,31.4,8.0,6.8,238.2,8.4,2.2,0.02,0.018,0.82
2024-09-20 12:00:00,33.3,8.0,7.6,238.0,8.6,2.0,0.02,0.018,0.76
2024-09-20 16:00:00,32.8,8.0,7.8,237.5,11.4,2.0,0.02,0.019,0.78
2024-09-20 20:00:00,32.2,8.0,7.3,239.9,9.0,2.7,0.02,0.019,0.76
2024-09-21 00:00:00,31.7,8.0,7.2,240.0,10.0,2.6,0.02,0.018,0.79
2024-09-21 04:00:00,31.5,8.0,7.0,239.7,8.8,2.5,0.02,0.019,0.78
2024-09-21 08:00:00,31.4,8.0,6.9,239.6,8.3,2.3,0.02,0.018,0.77
2024-09-21 16:00:00,31.3,8.0,7.2,238.7,21.7,2.3,0.02,0.018,0.77
2024-09-21 20:00:00,31.1,8.0,6.6,238.2,12.1,2.4,0.02,0.029,0.71
2024-09-22 00:00:00,30.9,8.0,5.8,238.5,8.9,2.5,0.02,0.02,0.77
2024-09-22 04:00:00,30.8,8.0,5.8,238.5,8.2,2.5,0.02,0.021,0.8
2024-09-22 08:00:00,30.4,8.0,5.8,238.2,8.5,2.2,0.02,0.018,0.8
2024-09-22 12:00:00,30.4,8.0,6.1,237.9,8.5,2.0,0.02,0.018,0.77
2024-09-22 16:00:00,30.1,8.0,6.5,237.5,10.1,4.7,0.02,0.02,0.82
2024-09-22 20:00:00,30.3,8.0,6.1,238.2,10.6,2.0,0.02,0.02,0.81
2024-09-23 00:00:00,30.0,8.0,6.0,238.0,7.8,2.0,0.02,0.021,0.81
2024-09-23 04:00:00,29.9,8.0,5.9,238.2,7.9,2.5,0.02,0.018,0.86
2024-09-23 08:00:00,29.9,8.0,6.0,238.4,8.1,2.3,0.03,0.019,0.85
2024-09-23 12:00:00,31.0,8.0,7.4,238.1,11.0,2.3,0.02,0.02,0.81
2024-09-23 16:00:00,30.9,8.0,7.6,237.9,12.2,2.7,0.02,0.021,0.55
2024-09-24 00:00:00,30.2,8.0,7.0,241.1,10.5,2.7,0.02,0.021,0.55
2024-09-24 04:00:00,29.9,8.0,7.2,242.2,8.3,2.4,0.02,0.021,0.69
2024-09-24 08:00:00,29.9,8.0,7.4,243.0,9.3,2.1,0.02,0.019,0.72
2024-09-24 12:00:00,31.4,8.0,8.7,247.9,9.5,1.9,0.02,0.02,0.68
2024-09-24 16:00:00,30.8,8.0,7.3,244.8,11.1,2.7,0.02,0.022,0.66
2024-09-24 20:00:00,30.4,8.0,7.0,245.4,11.5,2.7,0.02,0.02,0.66
2024-09-25 00:00:00,30.3,8.0,6.8,243.7,10.4,2.0,0.02,0.02,0.67
2024-09-25 04:00:00,30.0,8.0,6.8,242.6,9.0,2.5,0.02,0.02,0.68
2024-09-25 08:00:00,30.0,8.0,6.3,242.6,9.6,2.3,0.02,0.018,0.69
2024-09-25 12:00:00,31.2,8.0,7.8,242.9,8.8,4.2,0.02,0.019,0.7
2024-09-25 16:00:00,31.5,8.0,8.9,241.2,9.5,2.6,0.02,0.021,0.66
2024-09-25 20:00:00,30.6,8.0,7.6,243.5,11.6,2.4,0.02,0.021,0.64
2024-09-26 00:00:00,30.3,8.0,7.2,244.1,12.0,2.6,0.02,0.019,0.67
2024-09-26 04:00:00,30.1,8.0,6.9,243.8,10.3,2.1,0.02,0.019,0.64
2024-09-26 08:00:00,30.0,8.0,6.7,244.3,10.2,2.3,0.02,0.019,0.66
2024-09-26 12:00:00,31.4,8.0,7.7,245.3,8.0,2.3,0.02,0.019,0.62
2024-09-27 08:00:00,29.9,8.0,7.0,244.8,9.0,2.7,0.02,0.019,0.62
2024-09-27 12:00:00,31.0,8.0,8.2,242.3,9.8,2.0,0.02,0.019,0.62
2024-09-27 16:00:00,30.9,8.0,8.1,241.3,68.4,2.6,0.02,0.018,0.62
2024-10-10 04:00:00,25.0,8.0,8.7,258.8,24.4,2.3,0.02,0.021,0.74
2024-10-10 08:00:00,24.8,8.0,8.7,257.9,23.5,2.3,0.02,0.022,0.75
2024-10-10 12:00:00,24.9,8.0,8.7,257.9,25.5,2.3,0.02,0.023,0.63
2024-10-10 16:00:00,24.9,8.0,8.7,258.0,29.8,2.4,0.02,0.027,0.72
2024-10-10 20:00:00,24.8,8.0,8.6,258.7,26.7,1.7,0.02,0.026,0.77
2024-10-10 20:00:00,24.8,8.0,8.6,258.7,26.7,2.2,0.02,0.023,0.69
