监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 20:00:00,32.3,9.0,5.5,278.2,13.5,6.2,0.02,0.042,0.36
2024-09-16 00:00:00,31.7,9.0,4.5,279.8,12.7,6.2,0.02,0.042,0.36
2024-09-16 04:00:00,31.4,9.0,4.5,282.7,11.4,6.2,0.03,0.039,0.35
2024-09-16 08:00:00,31.1,8.0,4.5,286.7,9.9,6.1,0.07,0.045,0.39
2024-09-16 12:00:00,32.2,9.0,4.5,283.9,11.3,5.9,0.02,0.043,0.53
2024-09-16 16:00:00,33.0,9.0,8.8,283.4,11.7,5.4,0.02,0.04,0.53
2024-09-16 20:00:00,32.6,9.0,9.0,282.4,11.0,5.6,0.02,0.039,0.51
2024-09-17 00:00:00,31.6,9.0,8.1,286.1,9.0,5.6,0.02,0.039,0.51
2024-09-17 04:00:00,31.2,8.0,7.2,287.6,8.4,5.3,0.06,0.036,0.46
2024-09-17 08:00:00,31.0,8.0,4.9,290.0,8.0,5.2,0.11,0.04,0.51
2024-09-17 12:00:00,32.1,9.0,6.9,288.8,9.2,5.1,0.06,0.037,0.5
2024-09-17 16:00:00,33.6,9.0,11.1,286.5,10.5,5.4,0.02,0.037,0.46
2024-09-17 20:00:00,33.0,9.0,11.1,283.0,11.6,5.4,0.02,0.037,0.48
2024-09-18 00:00:00,32.1,9.0,13.1,284.4,10.7,5.4,0.02,0.037,0.48
2024-09-18 04:00:00,31.6,9.0,10.8,286.6,9.0,5.2,0.02,0.034,0.44
2024-09-18 08:00:00,31.3,9.0,9.2,288.0,8.9,5.2,0.02,0.035,0.45
2024-09-18 12:00:00,31.7,9.0,11.7,287.1,16.6,5.5,0.02,0.038,0.43
2024-09-18 16:00:00,33.1,9.0,11.7,283.8,14.5,5.6,0.02,0.037,0.44
2024-09-19 00:00:00,31.8,9.0,13.2,285.7,11.8,5.8,0.02,0.037,0.43
2024-09-19 08:00:00,31.1,9.0,8.4,289.2,10.7,5.2,0.02,0.035,0.41
2024-09-19 12:00:00,32.3,9.0,12.3,287.9,12.2,5.0,0.02,0.035,0.45
2024-09-20 08:00:00,31.2,9.0,11.2,288.6,11.8,5.5,0.02,0.033,0.4
2024-09-20 12:00:00,32.7,9.0,13.6,288.8,12.6,5.3,0.02,0.034,0.34
2024-09-20 16:00:00,33.7,9.0,12.6,285.3,11.4,5.4,0.02,0.033,0.41
2024-09-20 20:00:00,31.9,9.0,8.6,288.2,10.3,5.4,0.02,0.035,0.44
2024-09-21 00:00:00,31.1,8.0,6.3,296.8,7.6,6.0,0.02,0.053,0.48
2024-09-21 04:00:00,30.9,8.0,6.4,296.7,6.9,5.4,0.1,0.04,0.56
2024-09-21 08:00:00,30.5,9.0,7.7,293.8,8.0,5.2,0.09,0.038,0.57
2024-09-21 12:00:00,30.7,9.0,9.4,291.4,8.8,5.4,0.02,0.037,0.42
2024-09-21 16:00:00,30.2,9.0,8.1,293.1,9.6,5.9,0.02,0.039,0.42
2024-09-21 20:00:00,30.1,9.0,7.7,294.2,9.4,5.7,0.02,0.037,0.38
2024-09-22 00:00:00,30.0,8.0,5.0,297.6,6.4,5.8,0.02,0.041,0.44
2024-09-22 04:00:00,29.9,8.0,4.3,298.3,6.7,5.1,0.07,0.037,0.43
2024-09-22 08:00:00,29.8,8.0,4.3,299.1,6.2,5.2,0.1,0.038,0.46
2024-09-22 12:00:00,29.8,8.0,3.8,299.6,6.1,5.1,0.11,0.037,0.47
2024-09-22 12:00:00,29.8,8.0,3.8,299.6,6.1,5.2,0.1,0.038,0.5
2024-09-22 20:00:00,29.5,8.0,3.9,301.3,6.4,5.2,0.1,0.038,0.5
2024-09-23 00:00:00,29.3,8.0,3.7,301.7,6.3,5.0,0.1,0.041,0.44
2024-09-23 04:00:00,29.0,8.0,3.7,302.2,6.3,5.1,0.1,0.042,0.46
2024-09-23 08:00:00,28.8,8.0,3.7,303.2,5.9,5.2,0.11,0.042,0.5
2024-09-23 12:00:00,29.8,8.0,5.7,301.7,6.1,5.0,0.12,0.041,0.53
2024-09-23 16:00:00,31.3,9.0,10.5,300.8,8.7,5.7,0.05,0.045,0.5
2024-09-23 20:00:00,30.5,9.0,10.9,299.1,8.2,5.8,0.02,0.046,0.47
2024-09-24 00:00:00,29.6,9.0,9.4,300.2,8.4,5.9,0.02,0.047,0.49
2024-09-24 04:00:00,29.3,9.0,7.1,301.9,8.4,5.9,0.02,0.047,0.48
2024-09-24 08:00:00,28.9,8.0,5.7,302.4,7.2,5.8,0.02,0.046,0.45
2024-09-24 12:00:00,30.2,9.0,13.3,298.0,9.5,5.6,0.02,0.046,0.42
2024-09-24 16:00:00,31.0,9.0,13.3,293.6,12.4,6.2,0.02,0.046,0.49
2024-09-24 20:00:00,30.1,9.0,13.4,293.5,10.2,6.2,0.02,0.054,0.47
2024-09-25 00:00:00,29.5,9.0,10.7,295.2,8.1,6.3,0.02,0.046,0.46
2024-09-25 04:00:00,29.2,9.0,9.9,297.2,11.0,6.0,0.02,0.046,0.41
2024-09-25 08:00:00,28.9,9.0,8.3,299.4,9.1,5.8,0.02,0.044,0.39
2024-09-25 12:00:00,30.0,9.0,13.3,297.5,9.3,5.4,0.02,0.045,0.42
2024-09-25 16:00:00,31.2,9.0,10.5,292.5,12.5,6.3,0.02,0.05,0.42
2024-09-25 20:00:00,30.4,9.0,9.5,288.3,13.0,6.3,0.02,0.048,0.51
2024-09-26 00:00:00,29.7,9.0,11.5,289.5,9.6,6.7,0.02,0.046,0.47
2024-09-26 04:00:00,29.3,9.0,11.6,291.7,9.6,6.2,0.02,0.046,0.41
2024-09-26 08:00:00,28.9,9.0,10.8,295.5,9.2,6.0,0.02,0.044,0.37
2024-09-26 12:00:00,30.3,9.0,14.2,294.1,9.7,5.7,0.02,0.046,0.4
2024-09-27 08:00:00,29.0,9.0,11.5,297.1,8.7,5.7,0.02,0.043,0.36
2024-09-27 12:00:00,30.0,9.0,11.5,294.1,10.6,5.9,0.02,0.043,0.36
2024-09-27 16:00:00,30.7,9.0,11.5,290.9,15.4,6.0,0.02,0.047,0.39
2024-10-09 16:00:00,26.0,9.0,10.4,367.8,9.2,5.2,0.02,0.218,1.09
2024-10-09 16:00:00,26.0,9.0,10.4,367.8,9.2,5.2,0.02,0.218,1.09
2024-10-09 16:00:00,26.0,9.0,10.4,367.8,9.2,5.2,0.02,0.218,1.09
2024-10-11 12:00:00,22.9,8.0,6.7,366.4,9.4,5.2,0.02,0.218,1.09
2024-10-11 16:00:00,22.9,8.0,7.0,366.5,10.5,4.9,0.02,0.22,0.93
2024-10-11 20:00:00,22.8,8.0,6.2,370.3,9.6,5.0,0.02,0.213,1.19
2024-10-12 04:00:00,22.6,8.0,5.8,369.4,8.5,4.7,0.02,0.211,1.29
2024-10-12 08:00:00,22.5,8.0,5.9,369.4,9.0,4.6,0.02,0.209,1.14
2024-10-12 16:00:00,22.5,8.0,6.2,366.9,9.4,5.5,0.17,0.204,1.17
2024-10-12 20:00:00,22.4,8.0,5.9,368.5,9.3,4.7,0.15,0.196,1.29
2024-10-13 00:00:00,22.4,8.0,5.8,367.5,8.3,4.2,0.16,0.194,1.17
2024-10-13 04:00:00,22.2,8.0,5.6,366.3,8.3,4.6,0.16,0.196,1.03
2024-10-13 12:00:00,23.2,8.0,6.4,370.2,8.8,4.5,0.14,0.19,1.19
2024-10-13 16:00:00,23.6,9.0,8.6,368.3,8.6,4.6,0.08,0.185,1.2
2024-10-14 00:00:00,22.9,9.0,8.9,377.7,7.8,4.2,0.02,0.176,1.44
2024-10-14 04:00:00,22.8,8.0,8.5,381.2,8.8,4.2,0.02,0.176,1.51
2024-10-14 12:00:00,23.5,9.0,9.7,383.8,8.6,4.4,0.02,0.174,1.43
2024-10-14 16:00:00,24.6,9.0,9.7,378.9,20.2,4.6,0.02,0.185,1.73
2024-10-21 08:00:00,21.7,8.0,7.1,393.6,12.9,4.7,0.02,0.137,1.81
2024-10-21 12:00:00,21.7,9.0,8.5,390.3,12.0,4.5,0.02,0.142,1.82
2024-10-21 16:00:00,21.9,9.0,10.5,385.0,10.8,4.6,0.02,0.145,1.88
2024-10-21 20:00:00,21.7,8.0,8.9,382.7,13.5,4.7,0.11,0.149,1.89
