监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-15 00:00:00,31.5,8.0,7.0,252.9,11.8,3.1,0.02,0.024,0.76
2024-09-15 04:00:00,31.4,8.0,7.1,260.1,8.0,2.9,0.02,0.022,0.71
2024-09-15 08:00:00,31.2,8.0,6.8,314.4,9.3,3.0,0.02,0.028,0.86
2024-09-15 12:00:00,31.5,8.0,6.8,335.3,11.7,2.9,0.02,0.033,0.87
2024-09-15 16:00:00,31.6,8.0,7.6,317.2,11.7,2.8,0.03,0.039,0.96
2024-09-15 20:00:00,31.2,8.0,5.9,317.9,10.5,3.0,0.05,0.033,0.96
2024-09-16 00:00:00,31.0,8.0,5.6,297.9,10.4,3.0,0.05,0.033,0.96
2024-09-16 04:00:00,30.9,8.0,5.5,260.7,10.4,2.7,0.03,0.027,0.81
2024-09-16 08:00:00,30.8,8.0,5.3,266.6,10.2,2.6,0.03,0.025,0.79
2024-09-16 12:00:00,31.7,8.0,6.9,236.6,8.7,2.8,0.02,0.022,0.68
2024-09-16 16:00:00,31.6,8.0,8.3,308.8,11.4,3.0,0.02,0.03,0.85
2024-09-16 20:00:00,31.3,8.0,6.7,314.8,10.9,2.7,0.04,0.032,0.94
2024-09-17 00:00:00,31.0,8.0,5.7,295.5,9.4,2.7,0.04,0.032,0.94
2024-09-17 04:00:00,31.2,8.0,5.6,253.0,8.3,2.5,0.03,0.022,0.74
2024-09-17 08:00:00,31.1,8.0,5.7,235.2,7.9,2.7,0.03,0.02,0.7
2024-09-17 12:00:00,31.9,8.0,7.0,238.9,8.0,2.7,0.02,0.021,0.67
2024-09-17 16:00:00,32.2,8.0,8.1,235.1,8.2,2.8,0.02,0.02,0.74
2024-09-17 20:00:00,32.0,8.0,8.7,253.0,8.7,2.9,0.02,0.022,0.71
2024-09-18 00:00:00,31.2,8.0,6.7,312.1,11.0,2.9,0.02,0.022,0.71
2024-09-18 04:00:00,31.2,8.0,5.5,265.5,9.4,2.8,0.02,0.024,0.75
2024-09-18 08:00:00,30.9,8.0,5.5,280.8,10.1,2.7,0.02,0.024,0.77
2024-09-18 12:00:00,31.8,8.0,7.2,251.5,10.7,2.7,0.02,0.023,0.64
2024-09-18 16:00:00,32.2,8.0,9.5,235.3,10.2,2.8,0.02,0.021,0.67
2024-09-18 20:00:00,31.6,8.0,8.8,309.9,12.1,2.8,0.02,0.028,0.87
2024-09-20 20:00:00,31.9,8.0,8.5,310.3,12.8,2.8,0.02,0.028,0.87
2024-09-21 00:00:00,31.5,8.0,7.3,313.0,10.2,2.7,0.02,0.032,1.48
2024-09-21 04:00:00,31.5,8.0,6.1,272.1,8.9,3.0,0.02,0.027,1.06
2024-09-21 08:00:00,31.3,8.0,5.8,261.2,9.3,2.7,0.02,0.023,0.88
2024-09-21 12:00:00,31.6,8.0,7.1,248.7,9.2,2.5,0.02,0.021,0.85
2024-09-21 16:00:00,31.8,8.0,7.8,242.3,8.8,2.6,0.02,0.021,0.78
2024-09-21 20:00:00,31.2,8.0,11.1,305.4,12.6,2.9,0.02,0.02,0.7
2024-09-22 00:00:00,31.0,8.0,6.9,317.2,11.5,3.4,0.02,0.025,0.97
2024-09-22 04:00:00,30.9,8.0,6.4,319.0,10.2,3.1,0.02,0.025,0.98
2024-09-22 08:00:00,30.6,8.0,6.1,319.0,10.5,2.5,0.02,0.024,1.02
2024-09-22 12:00:00,30.4,8.0,6.6,305.6,10.9,2.5,0.02,0.022,0.97
2024-09-22 16:00:00,30.1,8.0,7.5,287.7,11.3,3.1,0.02,0.022,0.89
2024-09-22 20:00:00,29.1,8.0,7.7,314.3,15.6,2.5,0.02,0.023,0.84
2024-09-23 00:00:00,29.6,8.0,6.3,320.9,15.7,2.9,0.02,0.025,0.9
2024-09-23 04:00:00,29.7,8.0,6.1,320.0,14.4,2.9,0.02,0.026,0.95
2024-09-23 08:00:00,29.6,8.0,6.0,315.6,12.6,2.7,0.02,0.026,0.93
2024-09-23 12:00:00,30.3,8.0,7.9,279.9,11.2,2.7,0.02,0.024,0.98
2024-09-23 16:00:00,31.4,8.0,7.8,261.9,10.8,2.9,0.02,0.025,0.94
2024-09-23 20:00:00,30.9,8.0,8.6,270.3,12.7,2.7,0.02,0.023,0.8
2024-09-24 00:00:00,29.9,8.0,7.9,329.7,15.6,2.7,0.02,0.02,0.77
2024-09-24 04:00:00,29.7,8.0,7.5,334.5,14.2,2.9,0.02,0.023,0.95
2024-09-24 08:00:00,29.6,8.0,6.2,283.6,12.5,2.6,0.02,0.023,0.9
2024-09-24 12:00:00,30.2,8.0,9.1,328.4,16.6,2.5,0.02,0.021,0.74
2024-09-24 16:00:00,30.6,8.0,9.0,337.7,17.2,2.8,0.02,0.026,0.96
2024-09-24 20:00:00,30.1,8.0,6.9,347.6,17.5,2.8,0.02,0.026,0.98
2024-09-25 00:00:00,29.8,8.0,5.7,340.3,15.4,2.6,0.02,0.025,0.93
2024-09-25 04:00:00,29.6,8.0,5.3,335.3,13.1,2.1,0.02,0.023,1.0
2024-09-25 08:00:00,29.3,8.0,5.2,334.9,13.7,2.2,0.02,0.021,0.99
2024-09-25 12:00:00,29.9,8.0,6.0,332.4,15.4,2.1,0.02,0.022,1.04
2024-09-25 16:00:00,30.3,8.0,6.7,329.7,14.7,2.8,0.02,0.022,1.08
2024-09-25 20:00:00,30.1,8.0,6.2,336.9,13.6,2.5,0.02,0.022,1.14
2024-09-26 00:00:00,29.8,8.0,5.7,337.8,12.5,2.4,0.02,0.021,1.12
2024-09-26 04:00:00,29.8,8.0,5.4,297.2,11.7,2.6,0.02,0.022,1.08
2024-09-26 08:00:00,29.6,8.0,5.3,289.6,11.5,2.6,0.02,0.019,0.91
2024-09-26 12:00:00,30.2,8.0,6.4,331.8,15.9,2.2,0.02,0.018,0.83
2024-09-27 08:00:00,29.5,8.0,5.3,319.9,16.1,2.3,0.02,0.017,0.73
2024-09-27 12:00:00,30.2,8.0,6.3,321.9,18.9,2.1,0.02,0.017,0.73
2024-09-27 16:00:00,30.6,8.0,7.4,320.3,14.8,2.4,0.02,0.023,1.1
2024-10-09 16:00:00,26.1,8.0,8.0,347.1,13.1,2.2,0.02,0.048,1.03
2024-10-09 16:00:00,26.1,8.0,8.0,347.1,13.1,2.2,0.02,0.048,1.03
2024-10-09 16:00:00,26.1,8.0,8.0,347.1,13.1,2.2,0.02,0.048,1.03
2024-10-11 12:00:00,24.3,8.0,5.3,387.0,14.0,1.9,0.08,0.05,1.22
2024-10-11 16:00:00,24.3,8.0,5.7,382.2,13.3,2.0,0.03,0.052,1.25
2024-10-11 20:00:00,24.3,8.0,5.8,321.0,13.0,1.6,0.02,0.05,1.2
2024-10-12 04:00:00,24.0,8.0,5.5,318.1,13.8,1.9,0.02,0.028,0.72
2024-10-12 08:00:00,23.7,8.0,5.4,384.0,14.3,1.9,0.02,0.031,0.79
2024-10-12 16:00:00,24.1,8.0,5.6,386.5,13.9,3.2,0.02,0.05,1.18
2024-10-12 20:00:00,24.0,8.0,5.5,385.3,12.7,2.4,0.02,0.051,1.37
2024-10-13 00:00:00,23.9,8.0,5.4,380.5,13.0,2.2,0.04,0.05,1.36
2024-10-13 04:00:00,23.8,8.0,5.4,349.2,12.5,2.2,0.03,0.042,1.15
2024-10-13 12:00:00,24.2,8.0,6.1,337.1,12.8,2.3,0.02,0.038,1.0
2024-10-13 16:00:00,24.4,8.0,6.5,380.2,13.8,2.1,0.02,0.05,1.3
2024-10-14 00:00:00,24.0,8.0,7.3,389.3,11.1,1.9,0.02,0.051,1.36
2024-10-14 04:00:00,24.0,8.0,5.6,333.7,11.5,2.2,0.02,0.037,1.13
2024-10-14 12:00:00,24.3,8.0,5.9,344.0,12.0,2.1,0.02,0.039,1.0
2024-10-14 16:00:00,24.9,8.0,7.1,296.9,12.2,2.2,0.02,0.028,0.74
2024-10-21 08:00:00,22.5,8.0,5.3,430.7,12.4,2.0,0.06,0.087,1.49
2024-10-21 12:00:00,22.8,8.0,5.3,434.3,12.3,2.1,0.02,0.101,1.47
2024-10-21 16:00:00,23.0,8.0,5.2,436.7,13.3,2.0,0.02,0.104,1.47
2024-10-21 20:00:00,23.0,8.0,5.1,409.8,11.4,2.1,0.02,0.092,1.38
2024-10-21 20:00:00,23.0,8.0,5.1,409.8,11.4,2.2,0.02,0.092,1.38
2024-10-22 04:00:00,22.7,8.0,5.6,313.9,12.5,2.4,0.02,0.045,0.96
2024-10-22 08:00:00,22.6,8.0,5.3,361.2,12.8,2.3,0.02,0.045,0.96
2024-10-22 12:00:00,23.1,8.0,5.4,436.6,12.6,2.3,0.02,0.102,1.42
2024-10-22 12:00:00,23.1,8.0,5.4,436.6,12.6,2.3,0.02,0.102,1.42
2024-10-22 16:00:00,23.3,8.0,5.4,446.0,12.4,2.3,0.02,0.102,1.5
2024-10-23 04:00:00,22.7,8.0,5.4,313.0,13.1,2.4,0.02,0.043,0.87
2024-10-23 08:00:00,22.6,8.0,5.4,308.7,13.8,2.4,0.02,0.04,0.87
2024-10-23 12:00:00,23.3,8.0,5.7,307.8,13.2,2.2,0.02,0.04,0.83
2024-10-23 16:00:00,23.8,8.0,5.9,288.2,12.7,2.5,0.02,0.034,0.74
2024-10-23 20:00:00,23.2,8.0,6.6,382.6,12.0,2.2,0.02,0.06,1.22
2024-10-23 20:00:00,23.2,8.0,6.6,382.6,12.0,2.2,0.02,0.06,1.22
2024-10-24 04:00:00,22.6,8.0,5.5,388.0,12.1,2.5,0.02,0.066,1.28
2024-10-24 08:00:00,22.6,8.0,5.4,332.3,13.6,2.4,0.02,0.049,1.05
2024-10-24 12:00:00,23.2,8.0,5.7,308.8,13.2,2.0,0.02,0.042,0.82
2024-10-24 16:00:00,23.3,8.0,5.8,307.9,13.5,2.4,0.02,0.041,0.85
2024-10-24 20:00:00,22.5,8.0,7.2,473.1,11.7,2.4,0.02,0.091,1.66
