监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-16 04:00:00,32.4,8.0,5.0,817.6,41.8,2.5,0.05,0.093,1.99
2024-09-16 08:00:00,31.7,8.0,4.5,743.9,49.2,2.5,0.06,0.091,2.06
2024-09-16 12:00:00,32.8,8.0,7.5,810.3,47.0,2.8,0.02,0.089,1.95
2024-09-16 16:00:00,33.1,8.0,7.6,808.8,37.4,2.6,0.02,0.083,1.92
2024-09-16 20:00:00,32.9,8.0,5.4,805.5,36.1,2.7,0.03,0.088,1.97
2024-09-16 20:00:00,32.9,8.0,5.4,805.5,36.1,2.7,0.03,0.088,1.97
2024-09-17 04:00:00,27.0,8.0,6.9,386.3,36.1,3.4,0.02,0.124,3.54
2024-09-17 08:00:00,26.2,8.0,7.2,335.7,36.1,4.8,0.02,0.178,4.5
2024-09-17 12:00:00,26.3,8.0,6.9,333.6,36.1,3.6,0.02,0.135,4.3
2024-09-17 16:00:00,26.8,8.0,6.6,349.5,71.7,3.3,0.02,0.122,4.23
2024-09-17 20:00:00,29.2,8.0,6.0,525.1,55.1,3.1,0.02,0.118,3.25
2024-09-17 20:00:00,29.2,8.0,6.0,525.1,55.1,3.1,0.02,0.118,3.25
2024-09-18 04:00:00,31.0,8.0,5.6,672.1,39.9,2.6,0.02,0.102,2.5
2024-09-18 08:00:00,31.5,8.0,5.3,725.8,23.3,2.5,0.02,0.096,2.24
2024-09-18 12:00:00,31.9,8.0,5.6,734.4,25.4,2.3,0.02,0.097,2.18
2024-09-18 16:00:00,32.4,8.0,6.7,748.7,24.9,2.3,0.02,0.091,2.1
2024-09-18 20:00:00,32.4,8.0,6.7,750.8,29.0,2.3,0.02,0.094,2.13
2024-09-19 08:00:00,32.2,8.0,6.7,778.4,22.8,2.2,0.02,0.091,1.99
2024-09-19 12:00:00,32.6,8.0,7.5,781.3,27.9,2.4,0.02,0.091,1.96
2024-09-20 04:00:00,32.7,8.0,10.1,821.8,24.8,2.6,0.02,0.079,1.91
2024-09-20 08:00:00,32.4,8.0,9.0,854.2,21.9,2.7,0.02,0.076,1.95
2024-09-20 12:00:00,33.2,8.0,10.7,867.8,25.3,2.7,0.02,0.079,1.95
2024-09-20 16:00:00,33.6,8.0,11.8,869.2,32.7,2.9,0.02,0.078,1.9
2024-09-20 20:00:00,32.7,8.0,10.1,879.2,31.9,2.8,0.02,0.078,1.98
2024-09-21 00:00:00,33.0,8.0,11.1,880.8,29.9,2.7,0.02,0.073,1.86
2024-09-21 04:00:00,32.6,8.0,10.2,882.8,32.3,2.7,0.02,0.072,1.91
2024-09-21 08:00:00,32.2,8.0,9.3,871.6,23.9,2.7,0.02,0.071,1.84
2024-09-21 12:00:00,32.1,8.0,9.2,849.0,24.0,2.6,0.02,0.072,1.87
2024-09-21 16:00:00,32.6,8.0,10.2,837.0,28.4,3.1,0.02,0.079,1.9
2024-09-21 20:00:00,32.2,8.0,9.7,819.1,34.6,3.0,0.02,0.079,1.87
2024-09-22 00:00:00,31.7,8.0,8.1,808.1,34.6,2.8,0.02,0.08,1.91
2024-09-22 04:00:00,31.4,8.0,7.5,810.7,37.3,2.8,0.02,0.078,1.88
2024-09-22 08:00:00,31.1,8.0,6.1,811.4,36.3,2.8,0.02,0.079,2.02
2024-09-22 16:00:00,32.3,8.0,8.5,858.0,36.2,2.5,0.02,0.082,1.9
2024-09-22 20:00:00,32.1,8.0,8.5,915.4,28.0,2.5,0.02,0.081,1.89
2024-09-22 20:00:00,32.1,8.0,8.5,915.4,28.0,2.7,0.02,0.086,1.86
2024-09-23 04:00:00,31.3,8.0,6.9,932.2,57.3,2.6,0.02,0.089,1.95
2024-09-23 08:00:00,31.2,8.0,6.3,927.9,36.9,2.6,0.02,0.091,2.03
