监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-09-18 00:00:00,32.3,9.0,9.2,295.3,18.2,2.5,0.02,0.03,0.64
2024-09-18 04:00:00,31.8,8.0,8.3,298.6,19.5,2.2,0.02,0.027,0.61
2024-09-18 08:00:00,31.6,8.0,7.1,299.8,21.5,2.2,0.02,0.027,0.65
2024-09-18 12:00:00,32.1,8.0,7.3,299.9,19.2,2.2,0.02,0.029,0.65
2024-09-18 16:00:00,33.5,9.0,10.1,294.7,19.0,2.5,0.02,0.029,0.65
2024-09-19 00:00:00,32.3,8.0,9.0,295.8,20.0,2.5,0.02,0.028,0.61
2024-09-19 08:00:00,31.7,8.0,7.1,303.9,18.6,2.1,0.02,0.028,0.74
2024-09-19 12:00:00,32.2,8.0,8.4,299.7,20.4,2.1,0.02,0.034,0.63
2024-09-20 08:00:00,31.7,8.0,6.6,306.5,18.9,2.0,0.03,0.028,0.6
2024-09-20 12:00:00,32.3,8.0,9.8,302.1,18.8,2.1,0.03,0.029,0.61
2024-09-20 16:00:00,32.7,9.0,12.7,298.9,20.9,2.3,0.02,0.032,0.65
2024-09-20 20:00:00,32.9,9.0,12.7,300.1,20.2,2.4,0.02,0.031,0.56
2024-09-21 00:00:00,32.5,9.0,10.5,303.2,18.7,2.4,0.02,0.028,0.58
2024-09-21 04:00:00,31.8,8.0,6.5,307.8,18.7,2.2,0.02,0.024,0.55
2024-09-21 08:00:00,31.4,8.0,5.7,313.4,19.7,2.2,0.04,0.028,0.62
2024-09-21 12:00:00,31.4,8.0,6.0,312.5,21.6,2.1,0.06,0.031,0.89
2024-09-21 16:00:00,31.3,8.0,7.0,308.8,19.0,2.1,0.05,0.031,0.84
2024-09-21 20:00:00,31.1,8.0,6.8,309.6,21.0,2.1,0.02,0.028,0.74
2024-09-22 00:00:00,30.8,8.0,6.1,311.3,17.9,2.1,0.03,0.03,0.76
2024-09-22 04:00:00,30.7,8.0,5.6,311.7,18.6,2.2,0.05,0.028,0.86
2024-09-22 08:00:00,30.4,8.0,5.3,313.0,19.0,2.0,0.05,0.03,0.84
2024-09-22 12:00:00,30.2,8.0,5.2,312.6,18.8,2.0,0.06,0.03,0.92
2024-09-22 16:00:00,30.0,8.0,4.6,314.5,19.4,1.9,0.07,0.031,0.91
2024-09-22 20:00:00,29.6,8.0,4.6,315.5,18.7,1.8,0.1,0.034,0.89
2024-09-23 00:00:00,29.2,8.0,4.7,315.5,19.0,1.9,0.12,0.035,0.94
2024-09-23 04:00:00,29.0,8.0,4.6,315.5,18.9,1.8,0.11,0.035,0.86
2024-09-23 08:00:00,28.9,8.0,4.5,318.8,19.7,1.9,0.1,0.033,0.88
2024-09-23 12:00:00,29.2,8.0,5.2,319.3,18.0,1.9,0.11,0.036,0.92
2024-09-23 16:00:00,29.9,8.0,6.6,319.3,19.3,1.9,0.09,0.037,0.88
2024-09-23 20:00:00,29.5,8.0,6.7,318.6,18.9,2.0,0.06,0.033,0.94
2024-09-24 00:00:00,29.0,8.0,6.1,319.3,15.8,2.0,0.04,0.031,0.94
2024-09-24 04:00:00,28.6,8.0,5.0,320.1,17.6,2.0,0.05,0.029,0.95
2024-09-24 08:00:00,28.5,8.0,5.2,321.0,17.7,1.9,0.07,0.033,0.91
2024-09-24 12:00:00,28.9,8.0,5.9,320.6,18.7,1.8,0.07,0.032,0.79
2024-09-24 16:00:00,29.7,8.0,8.3,319.4,17.0,2.0,0.04,0.032,0.86
2024-09-24 20:00:00,29.5,8.0,8.4,323.5,19.9,2.2,0.02,0.029,0.84
2024-09-25 00:00:00,29.2,8.0,6.9,322.2,21.3,2.3,0.02,0.028,0.83
2024-09-25 04:00:00,29.4,8.0,6.2,323.7,20.9,2.2,0.03,0.029,0.83
2024-09-25 08:00:00,29.4,8.0,5.9,325.6,21.2,1.8,0.04,0.028,0.84
2024-09-25 12:00:00,30.4,8.0,7.5,324.7,20.2,1.8,0.04,0.03,0.76
2024-09-25 16:00:00,31.0,8.0,9.1,323.2,20.4,2.0,0.04,0.031,0.8
2024-09-25 20:00:00,30.4,8.0,7.8,323.4,20.3,2.0,0.02,0.028,0.76
2024-09-26 00:00:00,30.1,8.0,7.2,323.1,20.4,2.1,0.02,0.026,0.72
2024-09-26 04:00:00,30.0,8.0,7.2,323.6,19.9,1.9,0.02,0.026,0.75
2024-09-26 08:00:00,29.9,8.0,6.4,324.7,20.0,1.7,0.03,0.026,0.7
2024-09-26 12:00:00,30.6,8.0,7.2,324.4,19.2,1.7,0.04,0.027,0.82
2024-09-27 08:00:00,29.9,8.0,6.1,325.6,19.8,1.7,0.02,0.025,0.72
2024-09-27 12:00:00,30.6,8.0,7.2,326.1,18.3,1.7,0.02,0.025,0.72
2024-09-27 16:00:00,30.9,8.0,7.7,326.2,18.5,1.8,0.02,0.027,0.65
2024-10-10 04:00:00,24.7,8.0,7.2,403.4,17.8,2.2,0.06,0.073,1.25
2024-10-10 08:00:00,24.4,8.0,6.8,403.6,17.7,2.2,0.05,0.072,1.31
2024-10-10 12:00:00,24.4,8.0,7.0,403.3,18.6,2.2,0.06,0.072,1.18
2024-10-10 16:00:00,24.4,8.0,7.1,405.2,18.2,2.4,0.04,0.071,1.29
2024-10-10 20:00:00,24.2,8.0,6.6,405.6,18.8,2.2,0.04,0.068,1.17
2024-10-10 20:00:00,24.2,8.0,6.6,405.6,18.8,2.2,0.05,0.069,1.16
2024-10-11 04:00:00,24.1,8.0,6.4,404.2,18.8,2.2,0.06,0.075,1.25
2024-10-11 08:00:00,24.1,8.0,6.2,402.1,18.9,2.3,0.09,0.076,1.23
2024-10-11 12:00:00,24.0,8.0,6.3,400.9,20.3,2.3,0.08,0.075,1.26
2024-10-11 16:00:00,23.9,8.0,6.3,403.1,18.8,2.3,0.07,0.077,1.23
2024-10-11 20:00:00,23.8,8.0,5.6,404.6,20.8,2.4,0.07,0.077,1.26
2024-10-12 04:00:00,23.7,8.0,5.3,407.9,20.0,2.1,0.1,0.079,1.39
2024-10-12 08:00:00,23.6,8.0,5.5,404.6,19.2,2.1,0.1,0.093,1.64
2024-10-12 16:00:00,23.5,8.0,6.7,407.9,22.3,2.4,0.1,0.088,1.45
2024-10-12 20:00:00,23.4,8.0,5.3,406.3,23.2,2.5,0.1,0.091,1.62
2024-10-13 00:00:00,23.3,8.0,5.0,410.0,22.3,2.6,0.1,0.104,1.68
2024-10-13 04:00:00,23.2,8.0,5.0,409.4,22.0,2.5,0.1,0.1,1.74
2024-10-13 12:00:00,23.5,8.0,5.3,403.3,21.3,2.4,0.1,0.092,1.67
2024-10-13 16:00:00,23.6,8.0,5.7,407.5,20.9,2.3,0.17,0.09,1.52
2024-10-14 00:00:00,23.2,8.0,5.0,402.1,23.4,2.4,0.17,0.094,1.56
2024-10-14 04:00:00,23.1,8.0,5.3,399.5,22.1,2.4,0.12,0.093,1.64
2024-10-14 12:00:00,23.5,8.0,6.5,396.5,19.9,2.5,0.15,0.098,1.81
2024-10-14 16:00:00,24.0,8.0,7.1,395.4,20.5,2.5,0.1,0.093,1.64
2024-10-21 08:00:00,22.4,8.0,6.4,392.6,25.3,2.6,0.11,0.099,2.1
2024-10-21 12:00:00,22.1,8.0,7.0,397.8,28.0,2.7,0.08,0.119,2.95
2024-10-21 16:00:00,22.0,8.0,7.5,404.1,27.6,3.6,0.06,0.13,3.35
2024-10-21 20:00:00,21.9,8.0,7.9,421.2,28.3,4.0,0.04,0.136,3.22
2024-10-21 20:00:00,21.9,8.0,7.9,421.2,28.3,4.1,0.04,0.136,3.22
2024-10-22 04:00:00,21.6,8.0,8.1,442.4,24.4,4.0,0.02,0.131,2.84
2024-10-22 08:00:00,21.5,8.0,8.0,450.7,25.0,4.0,0.02,0.131,2.84
2024-10-22 12:00:00,22.1,8.0,8.4,465.6,24.0,3.9,0.03,0.129,2.53
2024-10-22 12:00:00,22.1,8.0,8.4,465.6,24.0,3.9,0.03,0.129,2.53
2024-10-22 16:00:00,22.8,8.0,8.6,467.5,24.0,3.8,0.03,0.125,2.45
2024-10-23 04:00:00,21.8,8.0,7.9,468.8,25.1,3.6,0.04,0.118,2.37
2024-10-23 08:00:00,21.6,8.0,7.9,470.2,24.9,3.4,0.05,0.117,2.32
