监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024-08-28 16:00:00,24.6,8.0,7.18,232.6,23.6,1.07,0.025,0.038,1.68
2024-08-28 20:00:00,24.8,8.0,7.12,226.5,21.7,1.43,0.025,0.034,1.6
2024-08-29 00:00:00,24.7,8.0,6.35,222.2,24.9,1.49,0.025,0.036,1.63
2024-08-29 04:00:00,24.4,8.0,5.98,228.0,24.8,1.41,0.025,0.033,1.54
2024-08-29 12:00:00,24.1,8.0,6.45,249.2,23.6,1.47,0.025,0.037,1.54
2024-08-29 16:00:00,24.8,8.0,7.28,229.5,20.4,1.49,0.025,0.036,1.76
2024-08-29 20:00:00,25.0,8.0,7.04,219.8,19.9,1.04,0.025,0.036,1.69
2024-08-29 20:00:00,25.0,8.0,7.04,219.8,19.9,1.36,0.025,0.034,1.53
2024-08-30 04:00:00,24.8,8.0,5.8,220.6,24.0,1.47,0.025,0.035,1.58
2024-08-30 08:00:00,24.5,8.0,5.71,238.3,22.4,1.42,0.025,0.034,1.59
2024-08-30 12:00:00,24.4,8.0,6.25,236.3,20.9,1.52,0.025,0.034,1.63
2024-08-30 12:00:00,24.4,8.0,6.25,236.3,20.9,1.42,0.025,0.035,1.58
2024-08-30 16:00:00,24.9,8.0,6.97,229.8,20.2,1.42,0.025,0.034,1.6
2024-09-02 04:00:00,23.6,8.0,5.87,217.8,20.2,2.87,0.025,0.076,1.63
2024-09-02 08:00:00,23.0,8.0,5.87,214.3,20.2,4.45,0.025,0.099,1.97
2024-09-02 12:00:00,23.3,8.0,5.89,204.8,20.2,5.16,0.025,0.096,1.3
2024-09-02 16:00:00,24.0,8.0,6.08,193.6,20.2,4.59,0.025,0.092,1.0
2024-09-02 20:00:00,24.1,8.0,6.07,203.5,20.2,5.45,0.025,0.06,0.44
2024-09-03 00:00:00,23.7,8.0,6.09,203.2,20.2,5.45,0.025,0.084,0.79
2024-09-03 04:00:00,23.4,8.0,6.04,208.5,20.2,4.13,0.025,0.078,0.72
2024-09-03 08:00:00,23.0,8.0,6.18,208.0,20.2,3.37,0.025,0.072,1.33
2024-09-03 12:00:00,23.0,8.0,6.24,206.0,20.2,2.96,0.025,0.073,1.38
2024-09-03 16:00:00,23.4,8.0,6.3,209.5,20.2,2.68,0.025,0.075,1.35
2024-09-03 20:00:00,23.6,8.0,6.21,211.4,20.2,3.83,0.025,0.082,1.39
2024-09-04 00:00:00,23.1,8.0,6.13,212.5,20.2,2.66,0.025,0.076,1.44
2024-09-04 04:00:00,22.8,8.0,6.37,215.6,20.2,2.83,0.025,0.076,1.59
2024-09-04 08:00:00,22.4,8.0,6.52,213.5,20.2,2.66,0.025,0.079,1.51
2024-09-04 12:00:00,22.6,8.0,6.37,208.6,76.1,2.48,0.025,0.077,1.62
2024-09-04 16:00:00,23.3,8.0,6.44,181.5,70.3,2.25,0.025,0.065,1.76
2024-09-04 20:00:00,23.8,8.0,6.29,191.3,70.3,2.72,0.025,0.074,1.77
2024-09-04 20:00:00,23.8,8.0,6.29,191.3,70.3,2.72,0.025,0.074,1.77
2024-09-04 20:00:00,23.8,8.0,6.29,191.3,70.3,2.72,0.025,0.074,1.77
2024-09-08 20:00:00,23.9,8.0,6.32,195.0,70.3,1.92,0.025,0.063,1.98
2024-09-08 20:00:00,23.9,8.0,6.32,195.0,70.3,1.92,0.025,0.063,1.98
2024-09-09 04:00:00,24.0,8.0,5.98,200.2,63.2,1.64,0.025,0.065,1.83
2024-09-09 08:00:00,23.6,8.0,6.04,207.2,63.2,1.53,0.025,0.071,1.86
2024-09-09 12:00:00,23.5,8.0,6.19,218.7,56.1,1.52,0.025,0.065,1.92
2024-09-09 16:00:00,24.1,8.0,6.32,211.2,49.2,1.31,0.025,0.059,1.8
2024-09-09 20:00:00,24.3,8.0,6.33,203.3,48.7,1.31,0.025,0.058,1.94
2024-09-09 20:00:00,24.3,8.0,6.33,203.3,48.7,1.31,0.025,0.058,1.94
2024-09-10 04:00:00,24.0,8.0,6.0,208.4,57.3,1.45,0.025,0.063,1.88
2024-09-10 08:00:00,23.7,8.0,6.02,222.1,56.1,1.38,0.025,0.065,1.98
2024-09-10 12:00:00,23.8,8.0,6.13,220.4,48.6,1.3,0.025,0.065,2.03
2024-09-10 16:00:00,24.4,8.0,6.25,218.5,42.3,1.49,0.025,0.06,1.93
2024-09-10 20:00:00,24.5,8.0,6.25,212.2,44.2,1.25,0.025,0.058,1.9
2024-09-10 20:00:00,24.5,8.0,6.25,212.2,44.2,1.25,0.025,0.058,1.9
2024-09-11 04:00:00,23.9,8.0,6.1,213.3,47.6,1.16,0.025,0.062,1.83
2024-09-11 08:00:00,23.5,8.0,6.17,218.8,53.8,1.34,0.025,0.064,2.03
2024-09-11 12:00:00,23.5,8.0,6.3,225.9,41.4,1.25,0.025,0.063,2.08
2024-09-11 16:00:00,23.9,8.0,6.39,219.9,51.8,1.86,0.025,0.071,2.04
2024-09-11 20:00:00,24.2,8.0,6.14,219.3,55.0,1.99,0.025,0.076,2.11
2024-09-11 20:00:00,24.2,8.0,6.14,219.3,55.0,1.99,0.025,0.076,2.11
2024-09-12 04:00:00,23.7,8.0,5.89,214.7,58.9,1.88,0.025,0.071,2.07
